title,year,rating,rating_count,genre
The Lion King ,2019,6.9,"193,948","Animation,Adventure,Drama,19 July 2019 (USA)
"
Blade Runner 2049 ,2017,8.0,"433,287","Action,Drama,Mystery,6 October 2017 (USA)
"
Se7en ,1995,8.6,"1,386,650","Crime,Drama,Mystery,22 September 1995 (USA)
"
Spider-Man: Into the Spider-Verse ,2018,8.4,"323,166","Animation,Action,Adventure,14 December 2018 (USA)
"
Guardians of the Galaxy ,2014,8.0,"1,015,659","Action,Adventure,Comedy,1 August 2014 (USA)
"
BlacKkKlansman ,2018,7.5,"195,980","Biography,Crime,Drama,10 August 2018 (USA)
"
Avengers: Infinity War ,2018,8.5,"781,414","Action,Adventure,Sci-Fi,27 April 2018 (USA)
"
Lady Bird ,2017,7.4,"222,203","Comedy,Drama,1 December 2017 (USA)
"
The Prestige ,2006,8.5,"1,141,289","Drama,Mystery,Sci-Fi,20 October 2006 (USA)
"
Inception ,2010,8.8,"1,975,562","Action,Adventure,Sci-Fi,16 July 2010 (USA)
"
The Wolf of Wall Street ,2013,8.2,"1,123,522","Biography,Crime,Drama,25 December 2013 (USA)
"
Twister ,1996,6.4,"170,733","Action,Adventure,Thriller,10 May 1996 (USA)
"
Rocketman ,2019,7.3,"118,104","Biography,Drama,Music,31 May 2019 (USA)
"
The Shawshank Redemption ,1994,9.3,"2,252,748","Drama,14 October 1994 (USA)
"
Jojo Rabbit ,2019,7.9,"228,256","Comedy,Drama,War,8 November 2019 (USA)
"
Maleficent: Mistress of Evil ,2019,6.6,"71,451","Adventure,Family,Fantasy,18 October 2019 (USA)
"
Star Wars: Episode IX - The Rise of Skywalker ,2019,6.7,"333,655","Action,Adventure,Fantasy,20 December 2019 (USA)
"
The Help ,2011,8.1,"414,836","Drama,10 August 2011 (USA)
"
Once Upon a Time... in Hollywood ,2019,7.7,"480,614","Comedy,Drama,26 July 2019 (USA)
"
Avengers: Endgame ,2019,8.4,"730,203","Action,Adventure,Drama,26 April 2019 (USA)
"
1917 ,2019,8.3,"330,263","Drama,War,10 January 2020 (USA)
"
Ad Astra ,2019,6.6,"170,993","Adventure,Drama,Mystery,20 September 2019 (USA)
"
Parasite ,2019,8.6,"430,901","Comedy,Drama,Thriller,8 November 2019 (USA)
"
Joker ,2019,8.5,"812,156","Crime,Drama,Thriller,4 October 2019 (USA)
"
